"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:SECRET_POLICE_INTRO","@Yes.","@はい。"
"traveler:SECRET_POLICE_INTRO","Very good.","大変よろしい。"
"traveler:SECRET_POLICE_INTRO","Please return my badge and paper.","バッジと紙返しなさい。"
"traveler:SECRET_POLICE_INTRO","We think suspicious group attempts to stir trouble.","不審なグループが問題起こそうとしていると。"
"traveler:SECRET_POLICE_INTRO","We think some members enter this checkpoint.","そして、そのメンバーは、この検問所に来ただろうと。"
"traveler:SECRET_POLICE_INTRO","What is this?","これ何だ？"
"traveler:SECRET_POLICE_INTRO","Interesting.","興味深い。"
"traveler:SECRET_POLICE_INTRO","Yes, very interesting.","うむ、これ極めて興味深い。"
"traveler:SECRET_POLICE_INTRO","I think it is best if you come with me.","私と一緒に来なさい。"
"traveler:SECRET_POLICE_INTRO","This group is very dangerous.","このグループ、非常に危険だ。"
"traveler:SECRET_POLICE_INTRO","If you see any curious thing, report immediately.","少しでもおかしいことがあれば、直ちに報告しなさい。"
"traveler:SECRET_POLICE_CAUGHT","Hello inspector.","やぁ、審査官。"
"traveler:SECRET_POLICE_CAUGHT","There is small discrepancy with your finances.","君の収入に妙なところある。"
"traveler:SECRET_POLICE_CAUGHT","The Ministry of Income was thoughtful enough to notify us.","親切な所得省から報告受けた。"
"traveler:SECRET_POLICE_CAUGHT","It is best if you come with me.","私と一緒に来なさい。"
"traveler:SECRET_POLICE_FINAL","Inspector.","審査官。"
"traveler:SECRET_POLICE_FINAL","It has been some time.","久しぶりだ。"
"traveler:SECRET_POLICE_FINAL","Read your bulletin carefully today.","本日の公報良く読みなさい。"
"traveler:SECRET_POLICE_FINAL","We will be speaking with many workers.","多くの職員話すことになろう。"
"traveler:SECRET_POLICE_FINAL","Your audit comes soon.","君の捜査もうすぐだ。"
"traveler:SECRET_POLICE_FINAL","I will personally conduct it.","私が買って出た。"
"traveler:SECRET_POLICE_FINAL","There is nothing to fear.","こわがる必要ない。"
"traveler:SECRET_POLICE_FINAL","Work hard.","職務に励みなさい。"
"traveler:JORJI_BASE","All right! You the best!","おぉう！お前サイコー！"
"traveler:JORJI_BASE","Arstotzka the best!","アルストツカ、サイコー！"
"traveler:JORJI_BASE","Here, take this!","コレ、やる！"
"traveler:JORJI0","Ok! Here we go!","よし！いくゾー！"
"traveler:JORJI0","Glory to Arstotzka!","アルストツカにエイコーあれ！"
"traveler:JORJI0","The greatest country!","世界１の国！"
"traveler:JORJI0","@Where is your passport?","@パスポートは？"
"traveler:JORJI0","Passport!","ぱすぽーと！"
"traveler:JORJI0","Arstotzka so great, passport not required.","素晴らすぃー国アルストツカ、ぱすぽーといらない。"
"traveler:JORJI0","Right?","そだろ？"
"traveler:JORJI0","@A passport is required.","@パスポートは必要です。"
"traveler:JORJI0","Ok, ok. I hear you.","はいはい、わかた。"
"traveler:JORJI0","I come back again.","また来るゾ。"
"traveler:JORJI1","Ok! Hello again!","よし！また会たナ！"
"traveler:JORJI1","Now I have passport!","ぱすぽーと持てきた！"
"traveler:JORJI1","Arstotzka still best country for sure!","やっぱアルストツカが１番だ！"
"traveler:JORJI1","@This passport is crude fake.","@これはひどい偽物ですね。"
"traveler:JORJI1","Hey now! Is not true!","なんだて！まさかぁ！"
"traveler:JORJI1","Is pre-approved!","しょーにんされたものだゾ！"
"traveler:JORJI1","@ Cobrastan is not a real country.","@コブラスタンなんて国はありません。"
"traveler:JORJI1","Ok, ok.","わかた、わかた。"
"traveler:JORJI1","You no like passport, I understand.","このぱすぽーと気に入らないか、そか。"
"traveler:JORJI1","I come back again with better one.","もっとイイやつ持てまた来るゾ。"
"traveler:JORJI2","Old friend hello!","オッスー、我が友！"
"traveler:JORJI2","I am back again!","戻てきたゾ！"
"traveler:JORJI2","This time everything set.","今度はカンペキ。"
"traveler:JORJI2","@You are missing an entry permit.","@入国許可証がありません。"
"traveler:JORJI2","Oh man you funny guy!","お前、おもしれーヤツだナ！"
"traveler:JORJI2","@An entry permit is required.","@入国許可証が必要です。"
"traveler:JORJI2","Wow, you run very strict border here.","ここのこっきょー厳しんだナ。"
"traveler:JORJI2","That is good. Do job right.","それ、イイこと。しっかりシゴトしろナ。"
"traveler:JORJI2","I look for entry thing and come back.","入国なんとか持てまた来るナ。"
"traveler:JORJI3","Hey it is me!","オレだゾ！"
"traveler:JORJI3","Are you happy to see?","会えて嬉しいナ？"
"traveler:JORJI3","I have everything you ask for now.","お前が言てたもの全部ある。"
"traveler:JORJI3","@Tickets are no longer accepted.","@入国券はもう認められていません。"
"traveler:JORJI3","Hey no!","なんだて！"
"traveler:JORJI3","Guy sold me ticket. Say is good!","アイツ、この券イケるて売てきたんダ！"
"traveler:JORJI3","You check again maybe.","たぶんまたにゅーこくシンサしてもらうゾ。"
"traveler:JORJI3","@Do not come back again.","@もう来ないで下さい。"
"traveler:JORJI3","Haha!","わはは！"
"traveler:JORJI3","You nice guy but I have business in Arstotzka.","お前イイ奴、でもアルストツカにシゴトある。"
"traveler:JORJI3","I get right papers and come see you.","ちゃんとしたショルイそろえて会いに来るゾ。"
"traveler:JORJI4","Hello my guy!","よぉ相棒！"
"traveler:JORJI4","Ok. Today is day!","さぁ、今日こそは！"
"traveler:JORJI4","Look at all good papers.","カンペキなショルイ、見てくれ。"
"traveler:JORJI4","Was not easy.","大変だたゾ。"
"traveler:JORJI4","Or cheap! Haha!","安くなかたしナ！わはは！"
"traveler:JORJI4","@I told you not to come back.","@もう来ないで下さいと言いましたよね。"
"traveler:JORJI4","This is crap.","くそーう。"
"traveler:JORJI4","You know what? Forget it.","もういい、ゼンブ忘れてくれ。"
"traveler:JORJI4","Arstotzka worst country.","アルストツカ、サイアクの国。"
"traveler:JORJI4","You worst person.","お前、サイアクの人間。"
"traveler:JORJI4","Thank you so much!","どうもありがとナ！"
"traveler:JORJI4","If I am honest to you, I was little nervous.","正直はなすと、ちょと心配だた。"
"traveler:JORJI4","Even with right papers is hard to say.","ホンモノ書類でも通ること難しい聞いてたからナ。"
"traveler:JORJI4","Ok bye!","よし、じゃあナ！"
"traveler:JORJI_SMUGGLE0","Again I am here!","また来たゾー！"
"traveler:JORJI_SMUGGLE0","Everything all set up now.","ちゃんとゼンブ用意した。"
"traveler:JORJI_SMUGGLE0","I come through often to see you.","たくさんお前に会いきてる。"
"traveler:JORJI_SMUGGLE0","We become good friends!","もう親友だナ！"
"traveler:JORJI_SMUGGLE0","@Your weight is different.","@体重が一致しません。"
"traveler:JORJI_SMUGGLE0","Is sad story.","聞てくれ。"
"traveler:JORJI_SMUGGLE0","My wife very bad cook.","カミさんひどい料理下手でナ。"
"traveler:JORJI_SMUGGLE0","But if I do not eat, she get angry.","でも食べない、怒られる。"
"traveler:JORJI_SMUGGLE0","Uh oh, maybe you not like this!","おっと、これはきと気に入らないナ！"
"traveler:JORJI_SMUGGLE0","@What is this?","@これは何ですか？"
"traveler:JORJI_SMUGGLE0","Is drugs!","クスリだゾ！"
"traveler:JORJI_SMUGGLE0","I have little side business here.","ちょと副業があるんだナ。"
"traveler:JORJI_SMUGGLE0","You let me through and I give you something something.","通してくればイイモノやるゾ。"
"traveler:JORJI_SMUGGLE0","@Something what?","@いいものって？"
"traveler:JORJI_SMUGGLE0","Ten credits.","10クレジットだ。"
"traveler:JORJI_SMUGGLE0","I give you ten credits for just little stamp.","ちんけなハンコひとつ10クレジットやる。"
"traveler:JORJI_SMUGGLE0","@Wait here Jorji.","@ここで待っていて下さい、Jorjiさん。"
"traveler:JORJI_SMUGGLE0","Is ok, I understand.","そか、わかたよ。"
"traveler:JORJI_SMUGGLE0","Drugs are bad. Not good for kids.","クスリよくない。子供たちにワルイ。"
"traveler:JORJI_SMUGGLE0","You do great work here still.","お前やぱりイイシゴトしてるナ。"
"traveler:JORJI_SMUGGLE0","Ok!","よし！"
"traveler:JORJI_SMUGGLE0","We go full speed!","またちょくちょく来るゾ！"
"traveler:JORJI_SMUGGLE0","Hey what is problem?","ん、どした？"
"traveler:JORJI_SMUGGLE0","@I do not trust you.","@あなたは信用できません。"
"traveler:JORJI_SMUGGLE0","Ok, ok.","わかた、わかた。"
"traveler:JORJI_SMUGGLE0","You good guy so I win trust next time.","お前イイ奴、次はちゃんとする。"
"traveler:JORJI_SMUGGLE1","Ok, I am back!","よし、戻たゾ！"
"traveler:JORJI_SMUGGLE1","Same procedure!","いつもどーりだ！"
"traveler:JORJI_SMUGGLE1","They told me this hard business.","オレのシゴトみんなタイヘンことだと言てくる。"
"traveler:JORJI_SMUGGLE1","So far everything smooth like ice!","でも今のトコはジュンチョーだゾ！"
"traveler:JORJI_SMUGGLE1","Thanks to you!","ありがとナ！"
"traveler:JORJI_SMUGGLE1","Buy something happy for wife.","ヨメさんにイイもの買てあげるがイイ。"
"traveler:JORJI_SMUGGLE1","Phew!","ふーぅ！"
"traveler:JORJI_SMUGGLE1","Was tough one. Lucky for me, guard was easy.","アブナイ、アブナイ。護衛がハナシ分かるヤツでオレ運イイ。"
"traveler:JORJI_SMUGGLE1","He asks for big money but is reasonable man.","大金言われたけど、まけてくれた。"
"traveler:JORJI_SMUGGLE1","Oh man, again!","なんだぃ、まただナ！"
"traveler:JORJI_SMUGGLE1","That guard have another good day.","あの護衛もまたイイ日になたナ。"
"traveler:JORJI_SMUGGLE1","Not sure I keep this up with no sales!","売らないとマズイナ！このままじゃナ。"
"traveler:JORJI_SMUGGLE1","Ok, we try again!","よし、また頑張ろーナ！"
"traveler:JORJI_SMUGGLE1","Sorry to bother you, but this my only job.","面倒ごめんナ、でもオレシゴトこれだけから。"
"traveler:JORJI_SMUGGLE1","@Wait here, Jorji.","@ここで待っていて下さい、Jorjiさん。"
"traveler:JORJI_SMUGGLE1","Is ok, I understand.","そか、わかたよ。"
"traveler:JORJI_SMUGGLE1","Drugs are bad. Not good for kids.","クスリよくない。子供たちにワルイ。"
"traveler:JORJI_SMUGGLE1","You do great work here still.","お前やぱりイイシゴトしてるナ。"
"traveler:JORJI_SMUGGLE1","@I see a difference here.","@これが一致しませんね。"
"traveler:JORJI_SMUGGLE1","Is real mystery for sure.","オレにもホントに謎だゾ。"
"traveler:JORJI_SMUGGLE1","Maybe things get too sexy in here.","セクスィーすぎて興奮すなヨ。"
"traveler:JORJI_SMUGGLE1","@Drugs?","@薬物ですか？"
"traveler:JORJI_SMUGGLE1","Looks like good stuff right?","イイモノだ思うだろ？"
"traveler:JORJI_SMUGGLE1","Wait! I give you 10 credits for ok stamp!","待てくれ！通れるハンコで10クレジットやる！"
"traveler:JORJI_SMUGGLE1","Think about family!","家族こと考えろナ？"
"traveler:JORJI_SMUGGLE1","They can buy many happy things with these credits.","このクレジットでハッピーなモノいぱい買えるゾ。"
"traveler:JORJI_SMUGGLE1","Just for little harmless drugs!","無害なおクスリ少しでだゾ！"
"traveler:JORJI_SMUGGLE1","This much better, see?","この方がいいナ？"
"traveler:JORJI_SMUGGLE1","Wow, you really stand-up guy.","お前ホント、リチギ奴だナ。"
"traveler:JORJI_SMUGGLE1","Maybe is not so good for me when I think about.","ヨク考えるとそれオレにはよくないゾ。"
"traveler:JORJI_CRIMINAL","Is good to see you again!","また会えて嬉しいゾ！"
"traveler:JORJI_CRIMINAL","Today I come just for short visit.","今日は観光に来たんだナ。"
"traveler:JORJI_CRIMINAL","Everything is definitely ok with me.","ゼンブがばちりダイジョブだゾ。"
"traveler:JORJI_CRIMINAL","For sure I am not in criminal bulletin or anything!","指名手配とかで公報にのてたりしないからナ！"
"traveler:JORJI_CRIMINAL","@Your face is in wanted bulletin.","@公報に指名手配犯として顔が掲載されています。"
"traveler:JORJI_CRIMINAL","What! I pay police like crazy!","えぇ！ケーサツにバカみたいにいぱい払たゾ！"
"traveler:JORJI_CRIMINAL","They promise no bulletin. All clear they say.","公報のせない約束したゾ。ダイジョブだ言てた。"
"traveler:JORJI_CRIMINAL","I think twice about trusting friendly people.","ヤサシー人はカンタン信じちゃダメナ。"
"traveler:JORJI_CRIMINAL","Hey I really like you.","なぁ、お前はとても好きだゾ。"
"traveler:JORJI_CRIMINAL","I know is risky to help me like this.","オレを助けるはとてもアブナイと知てる。"
"traveler:JORJI_CRIMINAL","I try to make it up for you.","お前のために何かするゾ。"
"traveler:JORJI_CRIMINAL","Ah, is ok.","あぁ、わかた。"
"traveler:JORJI_CRIMINAL","At least you do not arrest me.","タイホはまぬがれたナ。"
"traveler:JORJI_CRIMINAL","Thanks anyways.","まぁありがとナ。"
"traveler:JORJI_CRIMINAL","@Sorry Jorji.","@すまない、Jorji。"
"traveler:JORJI_CRIMINAL","Ah, is ok. Most police know me now.","あぁ、わかた。ケーサツほとんどオレ知てる。"
"traveler:JORJI_CRIMINAL","I have little talk with them again.","また少しおしゃべりしてくるゾ。"
"traveler:JORJI_CRIMINAL","Anyway, you have tough job.","でもお前、タイヘンなシゴトだナ。"
"traveler:JORJI_CRIMINAL","I rather sell drugs!","クスリ売るのがマシさ！"
"traveler:JORJI_PASSPORTS","I read newspaper.","新聞よんだ。"
"traveler:JORJI_PASSPORTS","@Hello Jorji.","@やぁ、Jorji。"
"traveler:JORJI_PASSPORTS","Things getting little crazy in Arstotzka.","アルストツカ少しおかしくなてきた。"
"traveler:JORJI_PASSPORTS","Maybe you think about going away for a bit.","ちょと離れるイイかもしれないゾ？"
"traveler:JORJI_PASSPORTS","Obristan is good place.","オブリスタン、イイ国。"
"traveler:JORJI_PASSPORTS","Right next door up north.","少し北行くだけ。"
"traveler:JORJI_PASSPORTS","@Our passports have been confiscated.","@パスポートは全部押収されてしまった。"
"traveler:JORJI_PASSPORTS","@We cannot leave.","@ここを離れることはできない。"
"traveler:JORJI_PASSPORTS","Hey that not good sign.","それは良くないキザシだナ。"
"traveler:JORJI_PASSPORTS","Hold on.","そだ。"
"traveler:JORJI_PASSPORTS","I know a guy.","オレの知り合いいる。"
"traveler:JORJI_PASSPORTS","Just give him real passports to work with.","ホンモノのぱすぽーとあれば頼める。"
"traveler:JORJI_PASSPORTS","He changes info to match for you.","お前の情報に書き換えてくれる。"
"traveler:JORJI_PASSPORTS","I learn that in hard way.","コイツ見つけるの苦労したんだゾ。"
"traveler:JORJI_PASSPORTS","Thanks again!","ありがとナ！"
"traveler:JORJI_PASSPORTS","Bah! Maybe you right.","ふん！お前正しいかもナ。"
"traveler:JORJI_PASSPORTS","Better to take little break.","少し休むがイイかもしれない。"
"traveler:JORJI_PASSPORTS","Hey what the hell?","ふざけるナー！"
"traveler:JORJI_PASSPORTS","You take my passport!","ぱすぽーととるか！"
"traveler:JORJI_PASSPORTS","You can see it was expensive!","高かたのわかてるだろ！"
"traveler:JORJI_PASSPORTS","@You said I need real Obristan passports.","@本物のオブリスタンのパスポートが必要だと聞いたので。"
"traveler:JORJI_PASSPORTS","Man. Fine.","くそ。いいさ。"
"traveler:JORJI_PASSPORTS","I get another but little unhappy about it.","新しいの手に入れるけど、ちょと悲しい。"
"traveler:JORJI_PASSPORTS","Memorize flyer and give back.","チラシ暗記して、返してくれ。"
"traveler:JORJI_PASSPORTS","Hey you know what.","あぁ、そだ。"
"traveler:JORJI_PASSPORTS","Take my passport.","オレのぱすぽーとやるゾ。"
"traveler:JORJI_PASSPORTS","I get another one no problem.","また新しいの手に入れる、ダイジョブ。"
"traveler:JORJI_PASSPORTS","Now memorize flyer and give back if you finish reading.","チラシ暗記して、読み終わたら返してくれ。"
"traveler:JORJI_PASSPORTS","Do not want to get in trouble!","モンダイ巻き込まれたくないだろ！"
"traveler:JORJI_PASSPORTS","Obristan really great this time of year.","オブリスタン今すごくイイ季節だゾ。"
"traveler:JORJI_PASSPORTS","Lots of snow.","雪もたくさん。"
"traveler:JORJI_PASSPORTS","Not sure where you get more passports for family.","家族のぱすぽーと、どこで手に入れればいいかオレわからないナ。"
"traveler:JORJI_PASSPORTS","But you smart guy.","でもお前カシコイ。"
"traveler:JORJI_PASSPORTS","Probably figure it out!","なんとかできるだろ！"
"traveler:JORJI_PASSPORTS","Good luck.","頑張れ。"
"traveler:JORJI_GOODBYE","Ho boy! I make big score!","よー大将！オレはやたゾ！"
"traveler:JORJI_GOODBYE","Huge! You have no idea!","でかいシゴト。想像できないだろナ。"
"traveler:JORJI_GOODBYE","Anyway. I just want to say thank you.","とにかく。お礼言いに来たゾ。"
"traveler:JORJI_GOODBYE","I wait in line just for that!","それだけのため列並んだ！"
"traveler:JORJI_GOODBYE","Maybe I quit now.","これで終わりするかもナ。"
"traveler:JORJI_GOODBYE","Haha!","わはは！"
"traveler:BROTHEL0","Hello handsome.","こんにちは、イケメンさん。"
"traveler:BROTHEL0","You look bored.","退屈そうね。"
"traveler:BROTHEL0","If you want good time, come see us.","いいことしたいなら、ウチ来て。"
"traveler:BROTHEL0","I will be around couple months.","数ヶ月いるから。"
"traveler:BROTHEL0","Don't forget to visit.","きっと来てね。"
"traveler:BROTHEL1","Hey there.","あらどうも。"
"traveler:BROTHEL1","I can make you happy any time.","私、いつでもあなたを気持ち良くできるよ。"
"traveler:BROTHEL1","Come to Pink Vice. Ask for Ava.","ピンク・ヴァイスで、Ava指名して。"
"traveler:BROTHEL2","Oh. Here.","あ、これを。"
"traveler:BROTHEL2","Please help me.","助けて下さい。"
"traveler:BROTHEL3","Hello friend.","やぁ友よ。"
"traveler:BROTHEL3","You come down, I give you good girl.","町に来たら、いいオンナ紹介するよ。"
"traveler:BROTHEL3","That little bitch.","あのクソアマ。"
"traveler:BROTHEL3","I break her in two.","八つ裂きしてやる。"
"traveler:BROTHEL3","@You are Dari Ludum?","@Dari Ludumさん？"
"traveler:BROTHEL3","Of course, it says on passport.","もちろん。パスポートの通り。"
"traveler:BROTHEL3","@One moment.","@少々お待ち下さい。"
"traveler:BROTHEL3","What is this shit?","何だこれ？"
"traveler:BROTHEL3","Give my papers back.","書類を返せ。"
"traveler:KILLERATHLETE","@You are Vince Lestrade?","@Vince Lestradeさん？"
"traveler:KILLERATHLETE","Damn.","くそっ。"
"traveler:KILLERATHLETE","Look, I did not kill her. I was set up.","聞け、俺は彼女を殺してない。ハメられたんだ。"
"traveler:KILLERATHLETE","Do not believe the Republian lies.","リパブリア人どものウソを信じるな。"
"traveler:KILLERATHLETE","Let me through.","通してくれ。"
"traveler:KILLERATHLETE","Shit.","ちくしょう。"
"traveler:HUSBAND_WIFE0","Today is beautiful day, my friend.","おお友よ、今日はなんて良い日だろ。"
"traveler:HUSBAND_WIFE0","We finally become free from Antegrian tyranny!","アンテグリアの圧政からやっと解放！"
"traveler:HUSBAND_WIFE0","Thank you so much!","ホントありがとう！"
"traveler:HUSBAND_WIFE0","Please be kind to my wife, she is just after me.","妻も優しくしてくれ、すぐ後ろ並んでる。"
"traveler:HUSBAND_WIFE0","No! They will kill us!","いや！ヤツらに殺される！"
"traveler:HUSBAND_WIFE0","Please, I beg you.","お願い、頼む。"
"traveler:HUSBAND_WIFE0","Let my wife pass. She is coming to you next.","妻は通して。彼女は次の番だ。"
"traveler:HUSBAND_WIFE1","Did you see my husband?","主人に会ったですか？"
"traveler:HUSBAND_WIFE1","He made it through, yes?","入国できたですよね？"
"traveler:HUSBAND_WIFE1","@Where is your entry permit?","@入国許可証は？"
"traveler:HUSBAND_WIFE1","Please, I beg you.","どうか、お願いです。"
"traveler:HUSBAND_WIFE1","They would not give me permit. I have no choice.","政府が発行してくれないです。無理なんです。"
"traveler:HUSBAND_WIFE1","I will be killed if I return to Antegria.","アンテグリア戻ったら、殺されます。"
"traveler:HUSBAND_WIFE1","Thank you.","ありがとう。"
"traveler:HUSBAND_WIFE1","We will not forget.","きっと忘れない。"
"traveler:HUSBAND_WIFE1","Why?","なぜですか？"
"traveler:HUSBAND_WIFE1","You have doomed me.","もう終わりですね。"
"traveler:HUSBAND_WIFE1","Why did you turn my husband away?","どうして主人を帰しましたか？"
"traveler:HUSBAND_WIFE1","I will not leave him to die.","彼をひとりで死なせるわけにはいかないです。"
"traveler:HUSBAND_WIFE1","You have doomed us both.","あなたのせいで、私たち二人とも終わり。"
"traveler:HIRING_ENGINEERS_START","You see many people, yes?","あなたは、たくさんの人に会いますよね？"
"traveler:HIRING_ENGINEERS_START","I am looking for engineers.","エンジニアを探してます。"
"traveler:HIRING_ENGINEERS_START","Do me a favor.","お願いがあります。"
"traveler:HIRING_ENGINEERS_START","Give my card to any engineers you meet.","私の名刺をエンジニアに渡して。"
"traveler:HIRING_ENGINEERS_START","I come back in few days.","数日後に戻ります。"
"traveler:HIRING_ENGINEERS_START","Pay you 5 credits for each engineer that calls me.","問合せのあったエンジニア1人につき5クレジット渡します。"
"traveler:HIRING_ENGINEERS_START","You make a mistake but I let you fix it.","あなた間違いを犯したようですが、まあいいですよ。"
"traveler:HIRING_ENGINEERS","What is this?","なんですかコレ？"
"traveler:HIRING_ENGINEERS","Oh. Huh. ; Huh. ; They are hiring?","へぇ。ふむ。 ; ふうむ。 ; 働く人探してるですか？"
"traveler:HIRING_ENGINEERS","I have already.","もうあります。"
"traveler:HIRING_ENGINEERS","Stop giving to me.","そんな渡さないで。"
"traveler:HIRING_ENGINEERS","Forget it, take them both. I don't want.","もういいです、両方持ってて。いらない。"
"traveler:HIRING_ENGINEERS_END","Is good card, yes? ; Thanks ; These were not cheap you know. ;","いい名刺でしょう？ ; 感謝します。 ; 安くなかったですから。 ;"
"traveler:HIRING_ENGINEERS_END","I am back.","戻ってきたよ。"
"traveler:HIRING_ENGINEERS_END","How many engineers did you meet?","何人のエンジニアと会えました？"
"traveler:HIRING_ENGINEERS_END","I got no calls.","問合せは、1つもなかった。"
"traveler:HIRING_ENGINEERS_END","You gave my cards to no one.","誰にも名刺を渡さなかったんですね。"
"traveler:HIRING_ENGINEERS_END","Thank you for nothing.","何もしないで、どうも。"
"traveler:HIRING_ENGINEERS_END","I get only one call.","問合せ1つありました。"
"traveler:HIRING_ENGINEERS_END","I'm lucky that he is good lead.","良い人材です。"
"traveler:HIRING_ENGINEERS_END","Here is what I promised.","約束の分です。"
"traveler:HIRING_ENGINEERS_END","I got two calls.","2つ問合せがありました。"
"traveler:HIRING_ENGINEERS_END","One guy, he was good.","1人はなかなかいいです。"
"traveler:HIRING_ENGINEERS_END","Other one not so much.","もう1人はそうでもなかった。"
"traveler:HIRING_ENGINEERS_END","Thanks anyways.","とにかく感謝します。"
"traveler:HIRING_ENGINEERS_END","I got three calls.","3つ問合せがありました。"
"traveler:HIRING_ENGINEERS_END","Two guys were good.","2人はなかなかです。"
"traveler:HIRING_ENGINEERS_END","Last one was a fool. Didn't know basics.","最後のヤツはダメ。基本をわかってない。"
"traveler:HIRING_ENGINEERS_END","But is ok. I appreciate.","でもいいです。助かりました。"
"traveler:HIRING_ENGINEERS_END","I got four calls.","4件問合せがありました。"
"traveler:HIRING_ENGINEERS_END","Three were civil engineers. Useless.","3人、ただのエンジニアでした。使えない。"
"traveler:HIRING_ENGINEERS_END","I need mechanicals. I told you.","機械がわかる人がほしい。言ったでしょう。"
"traveler:HIRING_ENGINEERS_END","Anyway, is ok. Last guy very sharp.","とにかく、OKです。最後の人はなかなか良い方でした。"
"traveler:HIRING_ENGINEERS_END","Thanks for the help.","あなたの手助け、感謝します。"
"traveler:FRIENDLY_GUARD0","Hello.","やぁ。"
"traveler:FRIENDLY_GUARD0","I heard that you are from Nirsk?","ニルスクから来たって聞いたよ。"
"traveler:FRIENDLY_GUARD0","I grew up there but I have not been back in many years.","オレもニルスク出身だけど、何年も帰ってないな。"
"traveler:FRIENDLY_GUARD0","@It is still a shit-hole. As before.","@相変わらず、どぶのような場所さ。"
"traveler:FRIENDLY_GUARD0","Haha, of course. This is what I remember too.","はっは、そうだろうな。オレもひどい思い出しかないよ。"
"traveler:FRIENDLY_GUARD0","I am Sergiu. It is good to meet you.","オレはSergiu。話せてよかった。"
"traveler:FRIENDLY_GUARD0","I will do my best to keep you safe.","キミの安全のため、全力を尽くすよ。"
"traveler:FRIENDLY_GUARD1","Thank you for yesterday.","昨日はありがとう。"
"traveler:FRIENDLY_GUARD1","My aim is not like before.","オレも腕が落ちたもんだよ。"
"traveler:FRIENDLY_GUARD2","There is more action at this checkpoint than in the war.","この検問所、戦時中よりも事件が多いな。"
"traveler:FRIENDLY_GUARD2","I fought in Kolechia for 5 years.","オレは、コレチアで5年戦ったんだ。"
"traveler:FRIENDLY_GUARD2","If you think it is bad in Arstotzka, it is ten times worse in Kolechia.","アルストツカがひどいと思うなら、コレチアは10倍ひどい。"
"traveler:FRIENDLY_GUARD2","I do not blame them for coming here.","コレチア人がやって来るのも無理はない。"
"traveler:FRIENDLY_GUARD2","Anyways, you are doing well. Keep it up.","ともかく、いつもご苦労さん。頑張っていこうぜ。"
"traveler:FRIENDLY_GUARD3","Friend, how are you?","やあ、元気かい？"
"traveler:FRIENDLY_GUARD3","I have a small favor to ask.","ちょっと頼み事があるんだ。"
"traveler:FRIENDLY_GUARD3","During the war, I met a beautiful girl.","戦時中に、キレイな女の子と出会ってね。"
"traveler:FRIENDLY_GUARD3","I think about her every moment.","彼女が頭から離れない。"
"traveler:FRIENDLY_GUARD3","Yesterday I receive word that she is finally coming here.","ようやくこっちに来られると、昨日連絡があったんだ。"
"traveler:FRIENDLY_GUARD3","Please, let her pass and I will be in your debt.","頼む。どうか彼女を通してほしい。"
"traveler:FRIENDLY_GUARD3","Her name is Elisa.","彼女の名はElisaだ。"
"traveler:FRIENDLY_GUARD4","Thank you for everything.","何もかも感謝するよ。"
"traveler:FRIENDLY_GUARD4","Elisa is so happy here.","Elisaも本当に嬉しそうだった。"
"traveler:FRIENDLY_GUARD4","She says our first son will have your name.","子どもには、キミの名前を付けるだなんて言ってたよ。"
"traveler:FRIENDLY_GUARD4","This is fine but I told her I want a daughter first!","それもいいけど、オレは娘が欲しいって言ったけどな！"
"traveler:FRIENDLY_GUARD4","I would like to show the locket to her.","カノジョにロケットを見せたい。"
"traveler:FRIENDLY_GUARD4","Do you still have it?","まだ持ってるかい？"
"traveler:FRIENDLY_GUARD4","Ah, I missed not having this with me.","あぁ、どれだけコイツが恋しかったか。"
"traveler:FRIENDLY_GUARD4","It is not much, but we have found a small way to thank you.","大したものは渡せないが、お礼をしたい。"
"traveler:FRIENDLY_GUARD4","Elisa will deliver it to your home. I hope that it helps.","Elisaが家まで届けるよ。役に立つといいが。"
"traveler:FRIENDLY_GUARD4","Tomorrow I am transferred to another post.","オレは明日から異動になった。"
"traveler:FRIENDLY_GUARD4","Stay safe my friend.","気をつけろよな。"
"traveler:FRIENDLY_GUARD4","Elisa did not come.","Elisaは来なかったよ。"
"traveler:FRIENDLY_GUARD4","@She arrived, but her papers were not in order.","@彼女は来たが、必要書類に不備があった。"
"traveler:FRIENDLY_GUARD4","@Tell her to try again with the correct documents.","@正しい書類を揃えてまた来るように伝えてくれ。"
"traveler:FRIENDLY_GUARD4","You know this is impossible.","無理だとわかっているだろう。"
"traveler:FRIENDLY_GUARD4","If you have the locket, give it back to me.","ロケットを持ってるなら、<br>返してくれないか。"
"traveler:ELISA","Do you know Sergiu?","Sergiu、知ってる？"
"traveler:ELISA","He said you were friend. That you would help.","あなた友達だから、助けてくれると。"
"traveler:ELISA","Please, my family is gone.","お願い、もう家族残ってない。"
"traveler:ELISA","I have only Sergiu left.","Sergiuしかいない。"
"traveler:ELISA","@You do not have the required documentation.","@必要な書類が不足してます。"
"traveler:ELISA","I tried for so long.","すごく手かけて来た。"
"traveler:ELISA","They would not allow me to leave.","でも政府は私を国から出してくれない。"
"traveler:ELISA","I am denied?","拒否、ですか？"
"traveler:ELISA","I understand.","わかりました。"
"traveler:ELISA","Please, tell Sergiu I will always love him.","お願い、Sergiuにいつまでも愛してると伝えて。"
"traveler:ELISA","We will be together in another life.","来世で一緒になりましょうと。"
